Entity,Code,Year,Average effective age of retirement (OECD)
Argentina,ARG,2014,65.6
Argentina,ARG,2015,65.5
Argentina,ARG,2016,65.25
Argentina,ARG,2017,65.10000038
Argentina,ARG,2018,65.45000076
Argentina,ARG,2019,65.25000095000013
Argentina,ARG,2020,65.22000121600016
Argentina,ARG,2021,65.19000148200021
Argentina,ARG,2022,65.16000174800024
Australia,AUS,1960,70.97000000000048
Australia,AUS,1961,70.51500000000044
Australia,AUS,1962,70.0600000000004
Australia,AUS,1963,69.60500000000036
Australia,AUS,1964,69.15000000000043
Australia,AUS,1965,68.69500000000039
Australia,AUS,1966,68.24000000000035
Australia,AUS,1967,67.78500000000031
Australia,AUS,1968,67.33000000000027
Australia,AUS,1969,66.87500000000023
Australia,AUS,1970,66.30000000000001
Australia,AUS,1971,66.0
Australia,AUS,1972,65.80000000000001
Australia,AUS,1973,64.85
Australia,AUS,1974,64.8
Australia,AUS,1975,63.7
Australia,AUS,1976,64.05
Australia,AUS,1977,63.25
Australia,AUS,1978,62.75
Australia,AUS,1979,62.35
Australia,AUS,1980,62.05
Australia,AUS,1981,61.55
Australia,AUS,1982,61.4
Australia,AUS,1983,61.05
Australia,AUS,1984,60.8
Australia,AUS,1985,60.7
Australia,AUS,1986,61.05
Australia,AUS,1987,60.65
Australia,AUS,1988,60.85
Australia,AUS,1989,61.05
Australia,AUS,1990,61.45
Australia,AUS,1991,61.15
Australia,AUS,1992,61.25
Australia,AUS,1993,61.65
Australia,AUS,1994,60.900000000000006
Australia,AUS,1995,60.85
Australia,AUS,1996,60.55
Australia,AUS,1997,60.450000765
Australia,AUS,1998,60.25
Australia,AUS,1999,60.85
Australia,AUS,2000,60.8
Australia,AUS,2001,61.1
Australia,AUS,2002,61.75
Australia,AUS,2003,62.05
Australia,AUS,2004,61.7
Australia,AUS,2005,62.5
Australia,AUS,2006,63.0
Australia,AUS,2007,62.9
Australia,AUS,2008,62.55
Australia,AUS,2009,63.45
Australia,AUS,2010,63.6
Australia,AUS,2011,63.8
Australia,AUS,2012,63.75
Australia,AUS,2013,64.15
Australia,AUS,2014,63.85
Australia,AUS,2015,64.30000000000001
Australia,AUS,2016,64.4
Australia,AUS,2017,64.89999771000001
Australia,AUS,2018,64.80000305
Australia,AUS,2019,65.10000190499954
Australia,AUS,2020,65.30000259099944
Australia,AUS,2021,65.50000327699934
Australia,AUS,2022,65.70000396299923
Austria,AUT,1960,65.92500000000027
Austria,AUT,1961,65.87500000000024
Austria,AUT,1962,65.82500000000022
Austria,AUT,1963,65.7750000000002
Austria,AUT,1964,65.72500000000018
Austria,AUT,1965,65.67500000000015
Austria,AUT,1966,65.62500000000013
Austria,AUT,1967,65.57500000000012
Austria,AUT,1968,65.52500000000009
Austria,AUT,1969,65.47500000000007
Austria,AUT,1970,65.5
Austria,AUT,1971,65.4
Austria,AUT,1972,65.05
Austria,AUT,1973,65.45
Austria,AUT,1974,65.7
Austria,AUT,1975,65.80000000000001
Austria,AUT,1976,65.55
Austria,AUT,1977,65.30000000000001
Austria,AUT,1978,64.7
Austria,AUT,1979,64.1
Austria,AUT,1980,63.7
Austria,AUT,1981,62.95
Austria,AUT,1982,62.55
Austria,AUT,1983,62.35
Austria,AUT,1984,62.45
Austria,AUT,1985,61.95
Austria,AUT,1986,61.55
Austria,AUT,1987,61.7
Austria,AUT,1988,61.65
Austria,AUT,1989,61.650000000000006
Austria,AUT,1990,61.75
Austria,AUT,1991,61.6
Austria,AUT,1992,61.25
Austria,AUT,1993,60.95
Austria,AUT,1994,60.7
Austria,AUT,1995,60.25
Austria,AUT,1996,60.15
Austria,AUT,1997,60.29999924
Austria,AUT,1998,60.450000765
Austria,AUT,1999,60.05
Austria,AUT,2000,59.6
Austria,AUT,2001,58.9
Austria,AUT,2002,59.5
Austria,AUT,2003,59.6
Austria,AUT,2004,58.5
Austria,AUT,2005,58.25
Austria,AUT,2006,58.95
Austria,AUT,2007,58.05
Austria,AUT,2008,57.7
Austria,AUT,2009,58.0
Austria,AUT,2010,58.75
Austria,AUT,2011,59.2
Austria,AUT,2012,60.5
Austria,AUT,2013,61.0
Austria,AUT,2014,61.2
Austria,AUT,2015,61.05
Austria,AUT,2016,61.3
Austria,AUT,2017,62.049999235
Austria,AUT,2018,62.14999962
Austria,AUT,2019,62.64999923749906
Austria,AUT,2020,63.05499904699889
Austria,AUT,2021,63.459998856498714
Austria,AUT,2022,63.86499866599854
Belgium,BEL,1960,62.584999999999894
Belgium,BEL,1961,62.6699999999999
Belgium,BEL,1962,62.75499999999991
Belgium,BEL,1963,62.83999999999992
Belgium,BEL,1964,62.924999999999926
Belgium,BEL,1965,63.009999999999934
Belgium,BEL,1966,63.09499999999994
Belgium,BEL,1967,63.17999999999995
Belgium,BEL,1968,63.26499999999996
Belgium,BEL,1969,63.349999999999966
Belgium,BEL,1970,63.4
Belgium,BEL,1971,63.55
Belgium,BEL,1972,63.650000000000006
Belgium,BEL,1973,63.650000000000006
Belgium,BEL,1974,63.6
Belgium,BEL,1975,63.6
Belgium,BEL,1976,62.7
Belgium,BEL,1977,61.7
Belgium,BEL,1978,61.2
Belgium,BEL,1979,60.9
Belgium,BEL,1980,60.25
Belgium,BEL,1981,60.0
Belgium,BEL,1982,60.1
Belgium,BEL,1983,59.55
Belgium,BEL,1984,59.05
Belgium,BEL,1985,59.05
Belgium,BEL,1986,58.650000000000006
Belgium,BEL,1987,57.85
Belgium,BEL,1988,57.35
Belgium,BEL,1989,57.3
Belgium,BEL,1990,57.3
Belgium,BEL,1991,57.65
Belgium,BEL,1992,56.7
Belgium,BEL,1993,57.35
Belgium,BEL,1994,57.4
Belgium,BEL,1995,57.35
Belgium,BEL,1996,56.7
Belgium,BEL,1997,57.64999962
Belgium,BEL,1998,57.64999962
Belgium,BEL,1999,57.85
Belgium,BEL,2000,57.8
Belgium,BEL,2001,57.75
Belgium,BEL,2002,57.65
Belgium,BEL,2003,57.0
Belgium,BEL,2004,57.8
Belgium,BEL,2005,58.150000000000006
Belgium,BEL,2006,58.45
Belgium,BEL,2007,59.3
Belgium,BEL,2008,59.6
Belgium,BEL,2009,59.65
Belgium,BEL,2010,59.8
Belgium,BEL,2011,59.3
Belgium,BEL,2012,59.150000000000006
Belgium,BEL,2013,59.4
Belgium,BEL,2014,59.55
Belgium,BEL,2015,59.85
Belgium,BEL,2016,60.5
Belgium,BEL,2017,60.899999615
Belgium,BEL,2018,61.049999235
Belgium,BEL,2019,61.57499904249903
Belgium,BEL,2020,61.974998774498886
Belgium,BEL,2021,62.37499850649863
Belgium,BEL,2022,62.77499823849848
Brazil,BRA,1960,73.32500000000013
Brazil,BRA,1961,73.27500000000012
Brazil,BRA,1962,73.22500000000011
Brazil,BRA,1963,73.1750000000001
Brazil,BRA,1964,73.12500000000009
Brazil,BRA,1965,73.07500000000007
Brazil,BRA,1966,73.02500000000006
Brazil,BRA,1967,72.97500000000005
Brazil,BRA,1968,72.92500000000004
Brazil,BRA,1969,72.87500000000003
Brazil,BRA,1970,72.85
Brazil,BRA,1971,72.75
Brazil,BRA,1972,72.7
Brazil,BRA,1973,72.69999999999999
Brazil,BRA,1974,72.75
Brazil,BRA,1975,72.55000000000001
Brazil,BRA,1976,72.35
Brazil,BRA,1977,72.15
Brazil,BRA,1978,71.9
Brazil,BRA,1979,71.7
Brazil,BRA,1980,71.5
Brazil,BRA,1981,71.25
Brazil,BRA,1982,70.94999999999999
Brazil,BRA,1983,70.69999999999999
Brazil,BRA,1984,70.45
Brazil,BRA,1985,70.2
Brazil,BRA,1986,69.3
Brazil,BRA,1987,70.45
Brazil,BRA,1988,69.75
Brazil,BRA,1989,68.95
Brazil,BRA,1990,68.69999999999999
Brazil,BRA,1991,67.9
Brazil,BRA,1992,66.5
Brazil,BRA,1993,65.75
Brazil,BRA,1994,66.55
Brazil,BRA,1995,66.65
Brazil,BRA,1996,65.4
Brazil,BRA,1997,65.60000228999999
Brazil,BRA,1998,65.100000385
Brazil,BRA,1999,65.35
Brazil,BRA,2000,64.75
Brazil,BRA,2001,65.35
Brazil,BRA,2002,65.55
Brazil,BRA,2003,66.3
Brazil,BRA,2004,65.94999999999999
Brazil,BRA,2005,66.15
Brazil,BRA,2006,66.5
Brazil,BRA,2007,65.55
Brazil,BRA,2008,65.7
Brazil,BRA,2009,65.6
Brazil,BRA,2010,65.65
Brazil,BRA,2011,65.35
Brazil,BRA,2012,65.05000000000001
Brazil,BRA,2013,65.3
Brazil,BRA,2014,64.75
Brazil,BRA,2015,64.9
Brazil,BRA,2016,65.6
Brazil,BRA,2017,64.899999615
Brazil,BRA,2018,64.949998855
Brazil,BRA,2019,64.94999866250006
Brazil,BRA,2020,64.89499828050008
Brazil,BRA,2021,64.83999789850007
Brazil,BRA,2022,64.78499751650008
Bulgaria,BGR,1960,66.34000000000037
Bulgaria,BGR,1961,66.00500000000034
Bulgaria,BGR,1962,65.6700000000003
Bulgaria,BGR,1963,65.33500000000026
Bulgaria,BGR,1964,65.00000000000023
Bulgaria,BGR,1965,64.6650000000003
Bulgaria,BGR,1966,64.33000000000027
Bulgaria,BGR,1967,63.99500000000023
Bulgaria,BGR,1968,63.660000000000196
Bulgaria,BGR,1969,63.32500000000016
Bulgaria,BGR,1970,63.0
Bulgaria,BGR,1971,62.650000000000006
Bulgaria,BGR,1972,62.3
Bulgaria,BGR,1973,62.0
Bulgaria,BGR,1974,61.65
Bulgaria,BGR,1975,61.4
Bulgaria,BGR,1976,61.0
Bulgaria,BGR,1977,60.55
Bulgaria,BGR,1978,60.15
Bulgaria,BGR,1979,59.65
Bulgaria,BGR,1980,59.15
Bulgaria,BGR,1981,59.25
Bulgaria,BGR,1982,59.3
Bulgaria,BGR,1983,59.35
Bulgaria,BGR,1984,59.5
Bulgaria,BGR,1985,59.55
Bulgaria,BGR,1986,59.7
Bulgaria,BGR,1987,59.8
Bulgaria,BGR,1988,59.9
Bulgaria,BGR,1989,59.95
Bulgaria,BGR,1990,60.0
Bulgaria,BGR,1991,59.5
Bulgaria,BGR,1992,58.95
Bulgaria,BGR,1993,58.4
Bulgaria,BGR,1994,57.85
Bulgaria,BGR,1995,57.35
Bulgaria,BGR,1996,56.75
Bulgaria,BGR,1997,56.200000765
Bulgaria,BGR,1998,56.299999235
Bulgaria,BGR,1999,56.35
Bulgaria,BGR,2000,56.45
Bulgaria,BGR,2001,56.75
Bulgaria,BGR,2002,56.5
Bulgaria,BGR,2003,55.75
Bulgaria,BGR,2004,56.5
Bulgaria,BGR,2005,57.4
Bulgaria,BGR,2006,58.3
Bulgaria,BGR,2007,60.8
Bulgaria,BGR,2008,63.25
Bulgaria,BGR,2009,62.400000000000006
Bulgaria,BGR,2010,61.7
Bulgaria,BGR,2011,61.0
Bulgaria,BGR,2012,60.25
Bulgaria,BGR,2013,60.95
Bulgaria,BGR,2014,61.25
Bulgaria,BGR,2015,61.75
Bulgaria,BGR,2016,61.900000000000006
Bulgaria,BGR,2017,62.549999235
Bulgaria,BGR,2018,63.04999924
Bulgaria,BGR,2019,63.44999885749917
Bulgaria,BGR,2020,63.90499855299902
Bulgaria,BGR,2021,64.35999824849887
Bulgaria,BGR,2022,64.81499794399872
Canada,CAN,1960,67.86000000000013
Canada,CAN,1961,67.69500000000016
Canada,CAN,1962,67.53000000000014
Canada,CAN,1963,67.36500000000012
Canada,CAN,1964,67.2000000000001
Canada,CAN,1965,67.03500000000014
Canada,CAN,1966,66.87000000000012
Canada,CAN,1967,66.7050000000001
Canada,CAN,1968,66.54000000000008
Canada,CAN,1969,66.37500000000011
Canada,CAN,1970,66.15
Canada,CAN,1971,66.1
Canada,CAN,1972,65.94999999999999
Canada,CAN,1973,65.65
Canada,CAN,1974,65.4
Canada,CAN,1975,65.2
Canada,CAN,1976,65.05000000000001
Canada,CAN,1977,64.65
Canada,CAN,1978,64.45
Canada,CAN,1979,64.69999999999999
Canada,CAN,1980,64.5
Canada,CAN,1981,64.25
Canada,CAN,1982,64.0
Canada,CAN,1983,64.0
Canada,CAN,1984,63.2
Canada,CAN,1985,63.3
Canada,CAN,1986,63.05
Canada,CAN,1987,63.2
Canada,CAN,1988,63.0
Canada,CAN,1989,63.3
Canada,CAN,1990,62.5
Canada,CAN,1991,62.5
Canada,CAN,1992,62.15
Canada,CAN,1993,61.8
Canada,CAN,1994,61.5
Canada,CAN,1995,61.35
Canada,CAN,1996,61.0
Canada,CAN,1997,61.14999962
Canada,CAN,1998,61.20000076
Canada,CAN,1999,61.75
Canada,CAN,2000,61.75
Canada,CAN,2001,62.0
Canada,CAN,2002,62.35
Canada,CAN,2003,63.0
Canada,CAN,2004,62.65
Canada,CAN,2005,62.55
Canada,CAN,2006,62.6
Canada,CAN,2007,62.65
Canada,CAN,2008,62.6
Canada,CAN,2009,62.75
Canada,CAN,2010,62.85
Canada,CAN,2011,63.3
Canada,CAN,2012,63.3
Canada,CAN,2013,63.55
Canada,CAN,2014,63.55
Canada,CAN,2015,64.15
Canada,CAN,2016,64.55
Canada,CAN,2017,64.799999235
Canada,CAN,2018,64.75
Canada,CAN,2019,65.07499961749949
Canada,CAN,2020,65.27999954099937
Canada,CAN,2021,65.48499946449925
Canada,CAN,2022,65.68999938799914
Chile,CHL,1960,64.12
Chile,CHL,1961,64.53999999999996
Chile,CHL,1962,64.96000000000004
Chile,CHL,1963,65.38
Chile,CHL,1964,65.80000000000007
Chile,CHL,1965,66.22000000000003
Chile,CHL,1966,66.6400000000001
Chile,CHL,1967,67.06000000000006
Chile,CHL,1968,67.48000000000013
Chile,CHL,1969,67.90000000000009
Chile,CHL,1970,68.35
Chile,CHL,1971,68.7
Chile,CHL,1972,69.15
Chile,CHL,1973,69.6
Chile,CHL,1974,70.0
Chile,CHL,1975,70.5
Chile,CHL,1976,70.15
Chile,CHL,1977,69.65
Chile,CHL,1978,69.1
Chile,CHL,1979,68.6
Chile,CHL,1980,68.1
Chile,CHL,1981,67.1
Chile,CHL,1982,65.9
Chile,CHL,1983,66.45
Chile,CHL,1984,66.3
Chile,CHL,1985,67.05000000000001
Chile,CHL,1986,66.5
Chile,CHL,1987,70.2
Chile,CHL,1988,68.7
Chile,CHL,1989,69.95
Chile,CHL,1990,69.4
Chile,CHL,1991,66.1
Chile,CHL,1992,66.0
Chile,CHL,1993,67.6
Chile,CHL,1994,67.9
Chile,CHL,1995,65.75
Chile,CHL,1996,66.65
Chile,CHL,1997,67.549999235
Chile,CHL,1998,67.900001525
Chile,CHL,1999,67.75
Chile,CHL,2000,68.65
Chile,CHL,2001,67.55000000000001
Chile,CHL,2002,66.3
Chile,CHL,2003,66.7
Chile,CHL,2004,66.3
Chile,CHL,2005,67.25
Chile,CHL,2006,68.15
Chile,CHL,2007,69.5
Chile,CHL,2008,68.7
Chile,CHL,2009,68.9
Chile,CHL,2010,68.5
Chile,CHL,2011,68.80000000000001
Chile,CHL,2012,69.35
Chile,CHL,2013,68.65
Chile,CHL,2014,68.95
Chile,CHL,2015,69.2
Chile,CHL,2016,68.9
Chile,CHL,2017,68.14999771000001
Chile,CHL,2018,68.349998475
Chile,CHL,2019,67.82499733000088
Chile,CHL,2020,67.49499664350094
Chile,CHL,2021,67.16499595700111
Chile,CHL,2022,66.83499527050128
China,CHN,1960,53.45000000000175
China,CHN,1961,53.750000000001705
China,CHN,1962,54.05000000000166
China,CHN,1963,54.350000000001614
China,CHN,1964,54.65000000000157
China,CHN,1965,54.95000000000152
China,CHN,1966,55.25000000000148
China,CHN,1967,55.55000000000143
China,CHN,1968,55.85000000000139
China,CHN,1969,56.15000000000134
China,CHN,1970,56.450000000001296
China,CHN,1971,56.75000000000114
China,CHN,1972,57.05000000000109
China,CHN,1973,57.350000000001046
China,CHN,1974,57.650000000001
China,CHN,1975,57.950000000000955
China,CHN,1976,58.25000000000091
China,CHN,1977,58.550000000000864
China,CHN,1978,58.85000000000082
China,CHN,1979,59.15000000000077
China,CHN,1980,59.45000000000073
China,CHN,1981,59.75000000000057
China,CHN,1982,60.05000000000052
China,CHN,1983,60.35000000000048
China,CHN,1984,60.65000000000043
China,CHN,1985,60.95000000000039
China,CHN,1986,61.25000000000034
China,CHN,1987,61.55
China,CHN,1988,61.85
China,CHN,1989,62.15
China,CHN,1990,62.45
China,CHN,1991,62.25
China,CHN,1992,62.0
China,CHN,1993,61.8
China,CHN,1994,61.65
China,CHN,1995,61.45
China,CHN,1996,61.7
China,CHN,1997,61.950000765
China,CHN,1998,62.200000765
China,CHN,1999,62.45
China,CHN,2000,62.75
China,CHN,2001,63.2
China,CHN,2002,63.7
China,CHN,2003,64.05000000000001
China,CHN,2004,64.35
China,CHN,2005,64.6
China,CHN,2006,64.6
China,CHN,2007,64.55
China,CHN,2008,64.5
China,CHN,2009,64.5
China,CHN,2010,64.4
China,CHN,2011,64.37499999999999
China,CHN,2012,64.32999999999998
China,CHN,2013,64.28499999999998
China,CHN,2014,64.23999999999998
China,CHN,2015,64.19499999999998
China,CHN,2016,64.14999999999998
China,CHN,2017,64.10499999999998
China,CHN,2018,64.05999999999997
China,CHN,2019,64.01499999999997
China,CHN,2020,63.96999999999997
China,CHN,2021,63.92499999999997
China,CHN,2022,63.87999999999997
Croatia,HRV,1960,61.91001225150016
Croatia,HRV,1961,61.84501190800016
Croatia,HRV,1962,61.78001156450014
Croatia,HRV,1963,61.71501122100014
Croatia,HRV,1964,61.65001087750014
Croatia,HRV,1965,61.58501053400013
Croatia,HRV,1966,61.52001019050013
Croatia,HRV,1967,61.45500984700011
Croatia,HRV,1968,61.39000950350011
Croatia,HRV,1969,61.32500916000011
Croatia,HRV,1970,61.26000881650009
Croatia,HRV,1971,61.19500847300009
Croatia,HRV,1972,61.130008129500084
Croatia,HRV,1973,61.06500778600008
Croatia,HRV,1974,61.00000744250008
Croatia,HRV,1975,60.935007099000075
Croatia,HRV,1976,60.87000675550007
Croatia,HRV,1977,60.80500641200007
Croatia,HRV,1978,60.740006068500065
Croatia,HRV,1979,60.675005725000034
Croatia,HRV,1980,60.61000538150003
Croatia,HRV,1981,60.54500503800003
Croatia,HRV,1982,60.480004694500025
Croatia,HRV,1983,60.41500435100002
Croatia,HRV,1984,60.35000400750002
Croatia,HRV,1985,60.285003664000016
Croatia,HRV,1986,60.22000332050001
Croatia,HRV,1987,60.15500297700001
Croatia,HRV,1988,60.09000263349998
Croatia,HRV,1989,60.025002289999975
Croatia,HRV,1990,59.96000194649997
Croatia,HRV,1991,59.89500160299997
Croatia,HRV,1992,59.830001259499966
Croatia,HRV,1993,59.76500091599996
Croatia,HRV,1994,59.70000057249996
Croatia,HRV,1995,59.65
Croatia,HRV,1996,59.55
Croatia,HRV,1997,59.5
Croatia,HRV,1998,59.449998855
Croatia,HRV,1999,59.55
Croatia,HRV,2000,59.6
Croatia,HRV,2001,59.7
Croatia,HRV,2002,59.7
Croatia,HRV,2003,59.7
Croatia,HRV,2004,60.1
Croatia,HRV,2005,59.55
Croatia,HRV,2006,58.9
Croatia,HRV,2007,59.25
Croatia,HRV,2008,60.45
Croatia,HRV,2009,60.0
Croatia,HRV,2010,60.05
Croatia,HRV,2011,60.3
Croatia,HRV,2012,60.45
Croatia,HRV,2013,60.45
Croatia,HRV,2014,61.8
Croatia,HRV,2015,62.4
Croatia,HRV,2016,61.900000000000006
Croatia,HRV,2017,61.85000038
Croatia,HRV,2018,61.399999615
Croatia,HRV,2019,61.124999805000584
Croatia,HRV,2020,60.81999972750066
Croatia,HRV,2021,60.51499965000073
Croatia,HRV,2022,60.20999957250092
Cyprus,CYP,1960,68.34999999999998
Cyprus,CYP,1961,68.43499999999996
Cyprus,CYP,1962,68.51999999999997
Cyprus,CYP,1963,68.60499999999998
Cyprus,CYP,1964,68.68999999999998
Cyprus,CYP,1965,68.77499999999999
Cyprus,CYP,1966,68.85999999999997
Cyprus,CYP,1967,68.94499999999998
Cyprus,CYP,1968,69.02999999999999
Cyprus,CYP,1969,69.115
Cyprus,CYP,1970,69.2
Cyprus,CYP,1971,69.28499999999998
Cyprus,CYP,1972,69.36999999999999
Cyprus,CYP,1973,69.455
Cyprus,CYP,1974,69.54
Cyprus,CYP,1975,69.62500000000001
Cyprus,CYP,1976,69.71
Cyprus,CYP,1977,69.795
Cyprus,CYP,1978,69.88000000000001
Cyprus,CYP,1979,69.96500000000002
Cyprus,CYP,1980,70.05000000000003
Cyprus,CYP,1981,70.15
Cyprus,CYP,1982,70.2
Cyprus,CYP,1983,70.3
Cyprus,CYP,1984,70.4
Cyprus,CYP,1985,70.5
Cyprus,CYP,1986,70.6
Cyprus,CYP,1987,70.7
Cyprus,CYP,1988,70.80000000000001
Cyprus,CYP,1989,67.65
Cyprus,CYP,1990,67.25
Cyprus,CYP,1991,67.8
Cyprus,CYP,1992,65.5
Cyprus,CYP,1993,65.1
Cyprus,CYP,1994,64.25
Cyprus,CYP,1995,64.4
Cyprus,CYP,1996,64.0
Cyprus,CYP,1997,63.650001525
Cyprus,CYP,1998,63.0
Cyprus,CYP,1999,62.2
Cyprus,CYP,2000,63.05
Cyprus,CYP,2001,64.2
Cyprus,CYP,2002,63.75
Cyprus,CYP,2003,63.55
Cyprus,CYP,2004,63.7
Cyprus,CYP,2005,64.1
Cyprus,CYP,2006,63.400000000000006
Cyprus,CYP,2007,64.80000000000001
Cyprus,CYP,2008,64.7
Cyprus,CYP,2009,63.45
Cyprus,CYP,2010,63.35
Cyprus,CYP,2011,63.15
Cyprus,CYP,2012,63.55
Cyprus,CYP,2013,64.15
Cyprus,CYP,2014,64.35
Cyprus,CYP,2015,64.65
Cyprus,CYP,2016,64.19999999999999
Cyprus,CYP,2017,63.450000765
Cyprus,CYP,2018,63.65000153
Cyprus,CYP,2019,63.05000191250076
Cyprus,CYP,2020,62.675002448000896
Cyprus,CYP,2021,62.300002983501145
Cyprus,CYP,2022,61.92500351900128
Czechia,CZE,1960,59.97499961750032
Czechia,CZE,1961,59.97499961750031
Czechia,CZE,1962,59.9749996175003
Czechia,CZE,1963,59.974999617500295
Czechia,CZE,1964,59.97499961750029
Czechia,CZE,1965,59.97499961750028
Czechia,CZE,1966,59.97499961750027
Czechia,CZE,1967,59.97499961750026
Czechia,CZE,1968,59.97499961750025
Czechia,CZE,1969,59.974999617500245
Czechia,CZE,1970,59.97499961750024
Czechia,CZE,1971,59.97499961750023
Czechia,CZE,1972,59.974999617500224
Czechia,CZE,1973,59.97499961750021
Czechia,CZE,1974,59.9749996175002
Czechia,CZE,1975,59.974999617500195
Czechia,CZE,1976,59.97499961750019
Czechia,CZE,1977,59.97499961750018
Czechia,CZE,1978,59.974999617500174
Czechia,CZE,1979,59.97499961750016
Czechia,CZE,1980,59.97499961750015
Czechia,CZE,1981,59.974999617500146
Czechia,CZE,1982,59.97499961750014
Czechia,CZE,1983,59.97499961750013
Czechia,CZE,1984,59.974999617500124
Czechia,CZE,1985,59.97499961750011
Czechia,CZE,1986,59.9749996175001
Czechia,CZE,1987,59.974999617500096
Czechia,CZE,1988,59.97499961750009
Czechia,CZE,1989,59.97499961750008
Czechia,CZE,1990,59.974999617500075
Czechia,CZE,1991,59.97499961750006
Czechia,CZE,1992,59.97499961750005
Czechia,CZE,1993,59.974999617500046
Czechia,CZE,1994,59.97499961750004
Czechia,CZE,1995,59.97499961750003
Czechia,CZE,1996,59.9
Czechia,CZE,1997,60.049999235
Czechia,CZE,1998,60.049999235
Czechia,CZE,1999,59.900000000000006
Czechia,CZE,2000,59.8
Czechia,CZE,2001,60.05
Czechia,CZE,2002,60.0
Czechia,CZE,2003,60.05
Czechia,CZE,2004,59.85
Czechia,CZE,2005,59.95
Czechia,CZE,2006,60.0
Czechia,CZE,2007,60.3
Czechia,CZE,2008,60.7
Czechia,CZE,2009,60.5
Czechia,CZE,2010,60.6
Czechia,CZE,2011,60.85
Czechia,CZE,2012,61.45
Czechia,CZE,2013,61.65
Czechia,CZE,2014,61.9
Czechia,CZE,2015,61.900000000000006
Czechia,CZE,2016,61.65
Czechia,CZE,2017,61.800001145
Czechia,CZE,2018,62.25
Czechia,CZE,2019,62.200000572499874
Czechia,CZE,2020,62.32000068699986
Czechia,CZE,2021,62.44000080149985
Czechia,CZE,2022,62.56000091599984
Denmark,DNK,1960,70.58000000000038
Denmark,DNK,1961,70.23500000000035
Denmark,DNK,1962,69.89000000000033
Denmark,DNK,1963,69.5450000000003
Denmark,DNK,1964,69.20000000000027
Denmark,DNK,1965,68.85500000000025
Denmark,DNK,1966,68.51000000000022
Denmark,DNK,1967,68.16500000000019
Denmark,DNK,1968,67.82000000000016
Denmark,DNK,1969,67.47500000000002
Denmark,DNK,1970,67.15
Denmark,DNK,1971,66.75
Denmark,DNK,1972,66.45
Denmark,DNK,1973,66.1
Denmark,DNK,1974,65.7
Denmark,DNK,1975,65.35
Denmark,DNK,1976,65.30000000000001
Denmark,DNK,1977,65.19999999999999
Denmark,DNK,1978,65.05000000000001
Denmark,DNK,1979,64.95
Denmark,DNK,1980,64.9
Denmark,DNK,1981,64.80000000000001
Denmark,DNK,1982,65.2
Denmark,DNK,1983,65.05
Denmark,DNK,1984,64.4
Denmark,DNK,1985,64.85
Denmark,DNK,1986,65.45
Denmark,DNK,1987,63.4
Denmark,DNK,1988,62.9
Denmark,DNK,1989,63.85
Denmark,DNK,1990,63.650000000000006
Denmark,DNK,1991,63.3
Denmark,DNK,1992,62.85
Denmark,DNK,1993,61.85
Denmark,DNK,1994,60.9
Denmark,DNK,1995,61.1
Denmark,DNK,1996,60.7
Denmark,DNK,1997,60.949998855
Denmark,DNK,1998,61.10000038
Denmark,DNK,1999,61.85
Denmark,DNK,2000,61.6
Denmark,DNK,2001,61.95
Denmark,DNK,2002,62.3
Denmark,DNK,2003,63.1
Denmark,DNK,2004,62.25
Denmark,DNK,2005,62.55
Denmark,DNK,2006,63.1
