Year,Entity,Code,Average annual working hours per worker
1961,Hong Kong,HKG,2702.0603
1962,Hong Kong,HKG,2681.9063
1963,Hong Kong,HKG,2661.9028
1964,Hong Kong,HKG,2642.0486
1965,Hong Kong,HKG,2622.3423
1966,Hong Kong,HKG,2602.783
1967,Hong Kong,HKG,2583.3696
1968,Hong Kong,HKG,2564.1011
1969,Hong Kong,HKG,2544.9761
1970,Hong Kong,HKG,2525.9939
1971,Hong Kong,HKG,2527.0503
1972,Hong Kong,HKG,2525.5298
1973,Hong Kong,HKG,2523.8738
1974,Hong Kong,HKG,2522.0754
1975,Hong Kong,HKG,2520.2058
1976,Hong Kong,HKG,2518.0522
1977,Hong Kong,HKG,2508.3438
1978,Hong Kong,HKG,2498.8701
1979,Hong Kong,HKG,2490.3911
1980,Hong Kong,HKG,2479.3877
1981,Hong Kong,HKG,2466.1563
1982,Hong Kong,HKG,2441.6013
1983,Hong Kong,HKG,2410.731
1984,Hong Kong,HKG,2381.7666
1985,Hong Kong,HKG,2356.0828
1986,Hong Kong,HKG,2360.2485
1987,Hong Kong,HKG,2324.3062
1988,Hong Kong,HKG,2372.4387
1989,Hong Kong,HKG,2314.0313
1990,Hong Kong,HKG,2278.522
1991,Hong Kong,HKG,2309.9045
1992,Hong Kong,HKG,2224.1714
1993,Hong Kong,HKG,2287.9592
1994,Hong Kong,HKG,2291.9285
1995,Hong Kong,HKG,2254.8499
1996,Hong Kong,HKG,2304.2678
1997,Hong Kong,HKG,2257.8132
1998,Hong Kong,HKG,2259.1528
1999,Hong Kong,HKG,2301.9258
2000,Hong Kong,HKG,2330.667
2001,Hong Kong,HKG,2326.3577
2002,Hong Kong,HKG,2343.4309
2003,Hong Kong,HKG,2330.8987
2004,Hong Kong,HKG,2354.375
2005,Hong Kong,HKG,2346.386
2006,Hong Kong,HKG,2315.4949
2007,Hong Kong,HKG,2327.78
2008,Hong Kong,HKG,2277.0227
2009,Hong Kong,HKG,2251.9988
2010,Hong Kong,HKG,2302.0801
2011,Hong Kong,HKG,2256.7612
2012,Hong Kong,HKG,2235.5942
2013,Hong Kong,HKG,2225.4138
2014,Hong Kong,HKG,2175.2473
2015,Hong Kong,HKG,2185.5789
2016,Hong Kong,HKG,2185.5789
2017,Hong Kong,HKG,2185.5789
2018,Hong Kong,HKG,2185.5789
2019,Hong Kong,HKG,2185.5789
2020,Hong Kong,HKG,2185.5789
2021,Hong Kong,HKG,2185.5789
2022,Hong Kong,HKG,2185.5789
1980,Hungary,HUN,2193.4773
1981,Hungary,HUN,2192.4775
1982,Hungary,HUN,2099.4998
1983,Hungary,HUN,2079.5046
1984,Hungary,HUN,2007.5217
1985,Hungary,HUN,1980.5281
1986,Hungary,HUN,1971.5303
1987,Hungary,HUN,2015.5198
1988,Hungary,HUN,2009.5212
1989,Hungary,HUN,1984.5272
1990,Hungary,HUN,1944.5367
1991,Hungary,HUN,1912.5443
1992,Hungary,HUN,1869.5546
1993,Hungary,HUN,1869.5546
1994,Hungary,HUN,2000.5233
1995,Hungary,HUN,2005.5222
1996,Hungary,HUN,1999.5793
1997,Hungary,HUN,2023.4016
1998,Hungary,HUN,2022.8932
1999,Hungary,HUN,2040.071
2000,Hungary,HUN,2032.8467
2001,Hungary,HUN,1993.3213
2002,Hungary,HUN,2005.2568
2003,Hungary,HUN,1978.1667
2004,Hungary,HUN,1986.1238
2005,Hungary,HUN,1986.9038
2006,Hungary,HUN,1983.4768
2007,Hungary,HUN,1978.6354
2008,Hungary,HUN,1981.7538
2009,Hungary,HUN,1963.0601
2010,Hungary,HUN,1956.1836
2011,Hungary,HUN,1948.6782
2012,Hungary,HUN,1926.5392
2013,Hungary,HUN,1920.5334
2014,Hungary,HUN,1928.3038
2015,Hungary,HUN,1923.7209
2016,Hungary,HUN,1937.3325
2017,Hungary,HUN,1937.3325
2018,Hungary,HUN,1937.3325
2019,Hungary,HUN,1937.3325
2020,Hungary,HUN,1937.3325
2021,Hungary,HUN,1937.3325
2022,Hungary,HUN,1937.3325
1964,Iceland,ISL,2144.7549
1965,Iceland,ISL,2121.4031
1966,Iceland,ISL,2109.0615
1967,Iceland,ISL,2073.1609
1968,Iceland,ISL,2025.9136
1969,Iceland,ISL,1997.3276
1970,Iceland,ISL,1979.8445
1971,Iceland,ISL,1941.3549
1972,Iceland,ISL,1908.254
1973,Iceland,ISL,1890.8378
1974,Iceland,ISL,1866.0885
1975,Iceland,ISL,1841.3087
1976,Iceland,ISL,1813.778
1977,Iceland,ISL,1771.6417
1978,Iceland,ISL,1733.0608
1979,Iceland,ISL,1720.1718
1980,Iceland,ISL,1710.0775
1981,Iceland,ISL,1703.6434
1982,Iceland,ISL,1706.3849
1983,Iceland,ISL,1706.3986
1984,Iceland,ISL,1704.5583
1985,Iceland,ISL,1703.6495
1986,Iceland,ISL,1696.3209
1987,Iceland,ISL,1694.4543
1988,Iceland,ISL,1701.8008
1989,Iceland,ISL,1697.2434
1990,Iceland,ISL,1687.1472
1991,Iceland,ISL,1690.7538
1992,Iceland,ISL,1690.7538
1993,Iceland,ISL,1705.9176
1994,Iceland,ISL,1677.275
1995,Iceland,ISL,1663.7961
1996,Iceland,ISL,1681.4872
1997,Iceland,ISL,1706.76
1998,Iceland,ISL,1687.3842
1999,Iceland,ISL,1667.1659
2000,Iceland,ISL,1718.554
2001,Iceland,ISL,1729.5055
2002,Iceland,ISL,1694.9659
2003,Iceland,ISL,1661.2688
2004,Iceland,ISL,1668.0083
2005,Iceland,ISL,1659.584
2006,Iceland,ISL,1649.4749
2007,Iceland,ISL,1627.5717
2008,Iceland,ISL,1629.2566
2009,Iceland,ISL,1549.0085
2010,Iceland,ISL,1542.5016
2011,Iceland,ISL,1548.2521
2012,Iceland,ISL,1523.7321
2013,Iceland,ISL,1521.8097
2014,Iceland,ISL,1509.6294
2015,Iceland,ISL,1509.1685
2016,Iceland,ISL,1493.3651
2017,Iceland,ISL,1493.3651
2018,Iceland,ISL,1493.3651
2019,Iceland,ISL,1493.3651
2020,Iceland,ISL,1493.3651
2021,Iceland,ISL,1493.3651
2022,Iceland,ISL,1493.3651
1970,India,IND,2077.3308
1971,India,IND,2077.0852
1972,India,IND,2076.5603
1973,India,IND,2074.8291
1974,India,IND,2072.3657
1975,India,IND,2069.9565
1976,India,IND,2067.1599
1977,India,IND,2065.3796
1978,India,IND,2064.4177
1979,India,IND,2064.2246
1980,India,IND,2064.0278
1981,India,IND,2063.623
1982,India,IND,2064.1531
1983,India,IND,2065.1204
1984,India,IND,2066.7083
1985,India,IND,2068.6077
1986,India,IND,2070.5779
1987,India,IND,2072.2705
1988,India,IND,2075.0774
1989,India,IND,2078.1321
1990,India,IND,2078.4795
1991,India,IND,2079.3042
1992,India,IND,2076.9104
1993,India,IND,2075.8694
1994,India,IND,2075.6873
1995,India,IND,2077.0972
1996,India,IND,2079.8303
1997,India,IND,2079.3826
1998,India,IND,2080.7412
1999,India,IND,2082.6938
2000,India,IND,2086.6284
2001,India,IND,2086.7727
2002,India,IND,2088.8936
2003,India,IND,2091.9958
2004,India,IND,2095.7783
2005,India,IND,2096.916
2006,India,IND,2097.0964
2007,India,IND,2098.1213
2008,India,IND,2099.6331
2009,India,IND,2103.5361
2010,India,IND,2110.3926
2011,India,IND,2113.6245
2012,India,IND,2115.7102
2013,India,IND,2117.103
2014,India,IND,2118.0881
2015,India,IND,2117.0117
2016,India,IND,2117.0117
2017,India,IND,2117.0117
2018,India,IND,2117.0117
2019,India,IND,2117.0117
2020,India,IND,2117.0117
2021,India,IND,2117.0117
2022,India,IND,2117.0117
1970,Indonesia,IDN,1988.0715
1971,Indonesia,IDN,1990.318
1972,Indonesia,IDN,2020.97
1973,Indonesia,IDN,2032.0226
1974,Indonesia,IDN,2029.8593
1975,Indonesia,IDN,2011.4331
1976,Indonesia,IDN,1972.9434
1977,Indonesia,IDN,1990.8206
1978,Indonesia,IDN,1975.8154
1979,Indonesia,IDN,1988.1433
1980,Indonesia,IDN,2003.2617
1981,Indonesia,IDN,2034.144
1982,Indonesia,IDN,2013.3235
1983,Indonesia,IDN,2051.5149
1984,Indonesia,IDN,2056.8665
1985,Indonesia,IDN,2029.0776
1986,Indonesia,IDN,1887.9058
1987,Indonesia,IDN,1890.0297
1988,Indonesia,IDN,1886.1644
1989,Indonesia,IDN,1891.3917
1990,Indonesia,IDN,1909.3696
1991,Indonesia,IDN,1928.2959
1992,Indonesia,IDN,1897.3234
1993,Indonesia,IDN,1898.6636
1994,Indonesia,IDN,1929.7295
1995,Indonesia,IDN,1928.0195
1996,Indonesia,IDN,1917.2124
1997,Indonesia,IDN,1922.9292
1998,Indonesia,IDN,1928.8357
1999,Indonesia,IDN,1949.5291
2000,Indonesia,IDN,1913.0223
2001,Indonesia,IDN,1935.4495
2002,Indonesia,IDN,1917.7333
2003,Indonesia,IDN,1941.8517
2004,Indonesia,IDN,1969.0544
2005,Indonesia,IDN,1953.516
2006,Indonesia,IDN,1965.111
2007,Indonesia,IDN,2042.9899
2008,Indonesia,IDN,2044.3296
2009,Indonesia,IDN,2063.6802
2010,Indonesia,IDN,2054.3242
2011,Indonesia,IDN,2023.2792
2012,Indonesia,IDN,2026.3513
2013,Indonesia,IDN,2024.2395
2014,Indonesia,IDN,2008.4623
2015,Indonesia,IDN,2024.287
2016,Indonesia,IDN,2024.287
2017,Indonesia,IDN,2024.287
2018,Indonesia,IDN,2024.287
2019,Indonesia,IDN,2024.287
2020,Indonesia,IDN,2024.287
2021,Indonesia,IDN,2024.287
2022,Indonesia,IDN,2024.287
1870,Ireland,IRL,3108.0
1871,Ireland,IRL,3098.9
1872,Ireland,IRL,3089.8
1873,Ireland,IRL,3080.7
1874,Ireland,IRL,3071.6
1875,Ireland,IRL,3062.5
1876,Ireland,IRL,3053.4
1877,Ireland,IRL,3044.3
1878,Ireland,IRL,3035.2
1879,Ireland,IRL,3026.1
1880,Ireland,IRL,3017.0
1881,Ireland,IRL,3002.2
1882,Ireland,IRL,2987.4
1883,Ireland,IRL,2972.6
1884,Ireland,IRL,2957.8
1885,Ireland,IRL,2943.0
1886,Ireland,IRL,2928.2
1887,Ireland,IRL,2913.4
1888,Ireland,IRL,2898.6
1889,Ireland,IRL,2883.8
1890,Ireland,IRL,2869.0
1891,Ireland,IRL,2861.6
1892,Ireland,IRL,2854.2
1893,Ireland,IRL,2846.8
1894,Ireland,IRL,2839.4
1895,Ireland,IRL,2832.0
1896,Ireland,IRL,2824.6
1897,Ireland,IRL,2817.2
1898,Ireland,IRL,2809.8
1899,Ireland,IRL,2802.4
1900,Ireland,IRL,2795.0
1901,Ireland,IRL,2786.923076923077
1902,Ireland,IRL,2778.846153846154
1903,Ireland,IRL,2770.769230769231
1904,Ireland,IRL,2762.6923076923076
1905,Ireland,IRL,2754.6153846153848
1906,Ireland,IRL,2746.5384615384614
1907,Ireland,IRL,2738.4615384615386
1908,Ireland,IRL,2730.3846153846152
1909,Ireland,IRL,2722.3076923076924
1910,Ireland,IRL,2714.230769230769
1911,Ireland,IRL,2706.153846153846
1912,Ireland,IRL,2698.076923076923
1913,Ireland,IRL,2690.0
1914,Ireland,IRL,2658.25
1915,Ireland,IRL,2626.5
1916,Ireland,IRL,2594.75
1917,Ireland,IRL,2563.0
1918,Ireland,IRL,2531.25
1919,Ireland,IRL,2499.5
1920,Ireland,IRL,2467.75
1921,Ireland,IRL,2436.0
1922,Ireland,IRL,2404.25
1923,Ireland,IRL,2372.5
1924,Ireland,IRL,2340.75
1925,Ireland,IRL,2309.0
1926,Ireland,IRL,2277.25
1927,Ireland,IRL,2245.5
1928,Ireland,IRL,2213.75
1929,Ireland,IRL,2182.0
1930,Ireland,IRL,2180.777777777778
1931,Ireland,IRL,2179.5555555555557
1932,Ireland,IRL,2178.3333333333335
1933,Ireland,IRL,2177.1111111111113
1934,Ireland,IRL,2175.8888888888887
1935,Ireland,IRL,2174.6666666666665
1936,Ireland,IRL,2173.4444444444443
1937,Ireland,IRL,2172.222222222222
1938,Ireland,IRL,2171.0
1939,Ireland,IRL,2191.700925
1940,Ireland,IRL,2212.40185
1941,Ireland,IRL,2233.102775
1942,Ireland,IRL,2253.8037
1943,Ireland,IRL,2274.504625
1944,Ireland,IRL,2295.2055499999997
1945,Ireland,IRL,2315.906475
1946,Ireland,IRL,2336.6074
1947,Ireland,IRL,2357.308325
1948,Ireland,IRL,2378.00925
1949,Ireland,IRL,2398.7101749999997
1950,Ireland,IRL,2419.4111
1951,Ireland,IRL,2407.575
1952,Ireland,IRL,2395.7969
1953,Ireland,IRL,2384.0762
1954,Ireland,IRL,2372.4131
1955,Ireland,IRL,2360.8069
1956,Ireland,IRL,2349.2573
1957,Ireland,IRL,2337.7644
1958,Ireland,IRL,2326.3279
1959,Ireland,IRL,2314.947
1960,Ireland,IRL,2303.6221
1961,Ireland,IRL,2306.6157
1962,Ireland,IRL,2309.6133
1963,Ireland,IRL,2312.615
1964,Ireland,IRL,2315.6204
1965,Ireland,IRL,2318.6296
1966,Ireland,IRL,2321.6428
1967,Ireland,IRL,2324.6602
1968,Ireland,IRL,2327.6812
1969,Ireland,IRL,2330.7063
1970,Ireland,IRL,2333.7351
1971,Ireland,IRL,2316.7312
1972,Ireland,IRL,2296.5879
1973,Ireland,IRL,2284.031
1974,Ireland,IRL,2247.6687
1975,Ireland,IRL,2237.7278
1976,Ireland,IRL,2232.2344
1977,Ireland,IRL,2202.6733
1978,Ireland,IRL,2183.0535
1979,Ireland,IRL,2161.3406
1980,Ireland,IRL,2122.1006
1981,Ireland,IRL,2090.7085
1982,Ireland,IRL,2083.3838
1983,Ireland,IRL,2073.1814
1984,Ireland,IRL,2055.1309
1985,Ireland,IRL,2062.1941
1986,Ireland,IRL,2096.7253
1987,Ireland,IRL,2076.0591
1988,Ireland,IRL,2084.4302
1989,Ireland,IRL,2091.7549
1990,Ireland,IRL,2080.2446
1991,Ireland,IRL,2045.1902
1992,Ireland,IRL,1996.7941
1993,Ireland,IRL,1970.111
1994,Ireland,IRL,1970.3726
1995,Ireland,IRL,1962.0013
1996,Ireland,IRL,1953.5992
1997,Ireland,IRL,1954.1941
1998,Ireland,IRL,1953.1941
1999,Ireland,IRL,1941.8829
2000,Ireland,IRL,1932.7238
2001,Ireland,IRL,1923.5294
2002,Ireland,IRL,1904.2762
2003,Ireland,IRL,1886.7864
2004,Ireland,IRL,1875.256
2005,Ireland,IRL,1883.1937
2006,Ireland,IRL,1878.813
2007,Ireland,IRL,1864.9323
2008,Ireland,IRL,1843.8962
2009,Ireland,IRL,1811.803
2010,Ireland,IRL,1801.2773
2011,Ireland,IRL,1702.1769
2012,Ireland,IRL,1707.4982
2013,Ireland,IRL,1719.5591
2014,Ireland,IRL,1731.0465
2015,Ireland,IRL,1740.5286
2016,Ireland,IRL,1738.7294
2017,Ireland,IRL,1745.6843
2018,Ireland,IRL,1745.6843
2019,Ireland,IRL,1745.6843
2020,Ireland,IRL,1745.6843
2021,Ireland,IRL,1745.6843
2022,Ireland,IRL,1745.6843
1981,Israel,ISR,1966.0331
1982,Israel,ISR,1941.761
1983,Israel,ISR,1928.6136
1984,Israel,ISR,1931.6477
1985,Israel,ISR,1931.6477
1986,Israel,ISR,1926.5911
1987,Israel,ISR,1920.5231
1988,Israel,ISR,1878.047
1989,Israel,ISR,1909.3983
1990,Israel,ISR,1904.3417
1991,Israel,ISR,1897.2623
1992,Israel,ISR,1950.863
1993,Israel,ISR,1952.8857
1994,Israel,ISR,1993.339
1995,Israel,ISR,2017.6111
1996,Israel,ISR,2035.5391
1997,Israel,ISR,2040.4977
1998,Israel,ISR,2015.4592
1999,Israel,ISR,2023.3385
2000,Israel,ISR,2034.7421
2001,Israel,ISR,1998.0148
2002,Israel,ISR,2015.5543
2003,Israel,ISR,1996.8781
2004,Israel,ISR,1973.2894
2005,Israel,ISR,1965.0957
2006,Israel,ISR,1951.7192
2007,Israel,ISR,1964.7948
2008,Israel,ISR,1960.6504
2009,Israel,ISR,1962.0277
2010,Israel,ISR,1956.2672
2011,Israel,ISR,1946.813
2012,Israel,ISR,1918.9104
2013,Israel,ISR,1908.5657
2014,Israel,ISR,1894.0676
2015,Israel,ISR,1895.4574
2016,Israel,ISR,1920.6106
2017,Israel,ISR,1920.6106
2018,Israel,ISR,1920.6106
2019,Israel,ISR,1920.6106
2020,Israel,ISR,1920.6106
2021,Israel,ISR,1920.6106
2022,Israel,ISR,1920.6106
1870,Italy,ITA,3000.0
1871,Italy,ITA,3000.8
1872,Italy,ITA,3001.6
1873,Italy,ITA,3002.4
1874,Italy,ITA,3003.2
1875,Italy,ITA,3004.0
1876,Italy,ITA,3004.8
1877,Italy,ITA,3005.6
1878,Italy,ITA,3006.4
1879,Italy,ITA,3007.2
1880,Italy,ITA,3008.0
1881,Italy,ITA,3007.8
1882,Italy,ITA,3007.6
1883,Italy,ITA,3007.4
1884,Italy,ITA,3007.2
1885,Italy,ITA,3007.0
1886,Italy,ITA,3006.8
1887,Italy,ITA,3006.6
1888,Italy,ITA,3006.4
1889,Italy,ITA,3006.2
1890,Italy,ITA,3006.0
1891,Italy,ITA,3006.8
1892,Italy,ITA,3007.6
1893,Italy,ITA,3008.4
1894,Italy,ITA,3009.2
1895,Italy,ITA,3010.0
1896,Italy,ITA,3010.8
1897,Italy,ITA,3011.6
1898,Italy,ITA,3012.4
1899,Italy,ITA,3013.2
1900,Italy,ITA,3014.0
1901,Italy,ITA,3009.3076923076924
1902,Italy,ITA,3004.6153846153848
1903,Italy,ITA,2999.923076923077
1904,Italy,ITA,2995.230769230769
1905,Italy,ITA,2990.5384615384614
1906,Italy,ITA,2985.846153846154
1907,Italy,ITA,2981.153846153846
1908,Italy,ITA,2976.4615384615386
1909,Italy,ITA,2971.769230769231
1910,Italy,ITA,2967.076923076923
1911,Italy,ITA,2962.3846153846152
1912,Italy,ITA,2957.6923076923076
1913,Italy,ITA,2953.0
1914,Italy,ITA,2903.0
1915,Italy,ITA,2853.0
1916,Italy,ITA,2803.0
1917,Italy,ITA,2753.0
1918,Italy,ITA,2703.0
1919,Italy,ITA,2653.0
1920,Italy,ITA,2603.0
1921,Italy,ITA,2553.0
1922,Italy,ITA,2503.0
1923,Italy,ITA,2453.0
1924,Italy,ITA,2403.0
1925,Italy,ITA,2353.0
1926,Italy,ITA,2303.0
1927,Italy,ITA,2253.0
1928,Italy,ITA,2203.0
1929,Italy,ITA,2153.0
1930,Italy,ITA,2154.0
1931,Italy,ITA,2155.0
1932,Italy,ITA,2156.0
1933,Italy,ITA,2157.0
1934,Italy,ITA,2158.0
1935,Italy,ITA,2159.0
1936,Italy,ITA,2160.0
1937,Italy,ITA,2161.0
1938,Italy,ITA,2162.0
1939,Italy,ITA,2157.43795
1940,Italy,ITA,2152.8759
1941,Italy,ITA,2148.31385
1942,Italy,ITA,2143.7518
1943,Italy,ITA,2139.18975
1944,Italy,ITA,2134.6277
1945,Italy,ITA,2130.06565
1946,Italy,ITA,2125.5036
1947,Italy,ITA,2120.94155
1948,Italy,ITA,2116.3795
1949,Italy,ITA,2111.81745
1950,Italy,ITA,2107.2554
1951,Italy,ITA,2113.708
1952,Italy,ITA,2120.1804
1953,Italy,ITA,2126.6726
1954,Italy,ITA,2133.1848
1955,Italy,ITA,2139.7168
1956,Italy,ITA,2146.2688
1957,Italy,ITA,2152.8411
1958,Italy,ITA,2159.4331
1959,Italy,ITA,2166.0457
1960,Italy,ITA,2172.6782
1961,Italy,ITA,2155.9355
1962,Italy,ITA,2106.6707
1963,Italy,ITA,2091.877
1964,Italy,ITA,2085.7231
1965,Italy,ITA,2027.9208
1966,Italy,ITA,2046.6244
1967,Italy,ITA,2071.1543
1968,Italy,ITA,2064.6907
1969,Italy,ITA,2063.5681
1970,Italy,ITA,2042.2288
1971,Italy,ITA,1989.7507
1972,Italy,ITA,1970.8881
1973,Italy,ITA,1954.6459
1974,Italy,ITA,1924.0708
1975,Italy,ITA,1908.549
1976,Italy,ITA,1906.4534
1977,Italy,ITA,1871.6073
1978,Italy,ITA,1861.5642
1979,Italy,ITA,1855.0286
1980,Italy,ITA,1856.0651
1981,Italy,ITA,1862.3245
1982,Italy,ITA,1873.733
1983,Italy,ITA,1873.0464
1984,Italy,ITA,1862.6731
1985,Italy,ITA,1859.1587
1986,Italy,ITA,1867.5593
1987,Italy,ITA,1886.6825
1988,Italy,ITA,1890.4023
1989,Italy,ITA,1874.5634
1990,Italy,ITA,1863.8346
1991,Italy,ITA,1856.8695
1992,Italy,ITA,1860.0026
1993,Italy,ITA,1859.8804
1994,Italy,ITA,1853.8326
1995,Italy,ITA,1856.0868
1996,Italy,ITA,1866.1272
1997,Italy,ITA,1860.113
1998,Italy,ITA,1873.7856
1999,Italy,ITA,1870.3572
2000,Italy,ITA,1850.8062
2001,Italy,ITA,1837.7606
2002,Italy,ITA,1826.5938
2003,Italy,ITA,1815.7974
2004,Italy,ITA,1815.3416
2005,Italy,ITA,1812.0552
2006,Italy,ITA,1812.5823
2007,Italy,ITA,1818.1526
2008,Italy,ITA,1807.0319
2009,Italy,ITA,1775.6611
2010,Italy,ITA,1777.2737
2011,Italy,ITA,1773.2565
2012,Italy,ITA,1734.1747
2013,Italy,ITA,1719.5074
2014,Italy,ITA,1717.1372
2015,Italy,ITA,1717.9958
2016,Italy,ITA,1724.4153
2017,Italy,ITA,1722.6113
2018,Italy,ITA,1722.6113
2019,Italy,ITA,1722.6113
2020,Italy,ITA,1722.6113
2021,Italy,ITA,1722.6113
2022,Italy,ITA,1722.6113
1986,Jamaica,JAM,1864.8246
1987,Jamaica,JAM,1893.6748
1988,Jamaica,JAM,1914.9969
1989,Jamaica,JAM,1972.9108
1990,Jamaica,JAM,1938.2228
1991,Jamaica,JAM,1947.975
1992,Jamaica,JAM,1963.4525
1993,Jamaica,JAM,1951.1327
1994,Jamaica,JAM,1958.8782
1995,Jamaica,JAM,1948.525
1996,Jamaica,JAM,1969.2648
1997,Jamaica,JAM,1963.9474
1998,Jamaica,JAM,1999.2107
1999,Jamaica,JAM,1983.4503
2000,Jamaica,JAM,1963.4492
2001,Jamaica,JAM,1970.6368
2002,Jamaica,JAM,1965.5664
2003,Jamaica,JAM,1965.5664
2004,Jamaica,JAM,1965.5664
2005,Jamaica,JAM,1965.5664
2006,Jamaica,JAM,1965.5664
2007,Jamaica,JAM,1965.5664
2008,Jamaica,JAM,1965.5664
2009,Jamaica,JAM,1965.5664
2010,Jamaica,JAM,1965.5664
2011,Jamaica,JAM,1965.5664
2012,Jamaica,JAM,1965.5664
2013,Jamaica,JAM,1965.5664
2014,Jamaica,JAM,1965.5664
2015,Jamaica,JAM,1965.5664
2016,Jamaica,JAM,1965.5664
2017,Jamaica,JAM,1965.5664
2018,Jamaica,JAM,1965.5664
2019,Jamaica,JAM,1965.5664
2020,Jamaica,JAM,1965.5664
2021,Jamaica,JAM,1965.5664
2022,Jamaica,JAM,1965.5664
1950,Japan,JPN,2030.4137
1951,Japan,JPN,2012.9907
1952,Japan,JPN,1995.7172
1953,Japan,JPN,1978.5918
1954,Japan,JPN,2008.9454
1955,Japan,JPN,2034.5164
1956,Japan,JPN,2084.9668
1957,Japan,JPN,2108.0427
1958,Japan,JPN,2133.1448
1959,Japan,JPN,2156.2446
1960,Japan,JPN,2172.8989
1961,Japan,JPN,2175.3137
1962,Japan,JPN,2152.7
1963,Japan,JPN,2146.3276
1964,Japan,JPN,2153.5291
1965,Japan,JPN,2135.1223
1966,Japan,JPN,2142.9473
1967,Japan,JPN,2156.571
1968,Japan,JPN,2160.3401
1969,Japan,JPN,2147.0117
1970,Japan,JPN,2137.2173
1971,Japan,JPN,2129.2954
1972,Japan,JPN,2131.6648
1973,Japan,JPN,2117.5442
1974,Japan,JPN,2058.7163
1975,Japan,JPN,2030.2618
1976,Japan,JPN,2057.5
1977,Japan,JPN,2064.0063
1978,Japan,JPN,2067.9878
1979,Japan,JPN,2072.7031
1980,Japan,JPN,2073.9438
1981,Japan,JPN,2068.8276
1982,Japan,JPN,2068.6187
1983,Japan,JPN,2074.8601
1984,Japan,JPN,2089.2798
1985,Japan,JPN,2076.7673
1986,Japan,JPN,2078.4951
1987,Japan,JPN,2083.9683
1988,Japan,JPN,2080.4377
1989,Japan,JPN,2061.3616
1990,Japan,JPN,2028.4187
1991,Japan,JPN,2010.7419
1992,Japan,JPN,1962.1306
1993,Japan,JPN,1926.7769
1994,Japan,JPN,1909.1
1995,Japan,JPN,1911.6
1996,Japan,JPN,1914.8
1997,Japan,JPN,1887.1
1998,Japan,JPN,1866.5
1999,Japan,JPN,1850.9
2000,Japan,JPN,1858.5
2001,Japan,JPN,1843.1
2002,Japan,JPN,1830.6
2003,Japan,JPN,1834.2
2004,Japan,JPN,1841.5
2005,Japan,JPN,1827.8
2006,Japan,JPN,1836.0
2007,Japan,JPN,1826.5
2008,Japan,JPN,1807.3
2009,Japan,JPN,1757.2
2010,Japan,JPN,1777.8
2011,Japan,JPN,1772.7
2012,Japan,JPN,1782.9
2013,Japan,JPN,1761.5
2014,Japan,JPN,1756.5
2015,Japan,JPN,1750.9
2016,Japan,JPN,1742.0
2017,Japan,JPN,1738.3633
2018,Japan,JPN,1738.3633
2019,Japan,JPN,1738.3633
2020,Japan,JPN,1738.3633
2021,Japan,JPN,1738.3633
2022,Japan,JPN,1738.3633
1995,Latvia,LVA,1975.9082
1996,Latvia,LVA,1975.8959
1997,Latvia,LVA,1975.9169
1998,Latvia,LVA,1975.9045
1999,Latvia,LVA,1975.9008
2000,Latvia,LVA,1975.7949
2001,Latvia,LVA,1987.1439
2002,Latvia,LVA,1937.8738
2003,Latvia,LVA,1927.734
2004,Latvia,LVA,1878.3942
2005,Latvia,LVA,1905.5121
2006,Latvia,LVA,1906.8286
2007,Latvia,LVA,1878.2091
2008,Latvia,LVA,2002.2491
2009,Latvia,LVA,1952.2241
2010,Latvia,LVA,1935.1354
2011,Latvia,LVA,1951.8978
2012,Latvia,LVA,1934.2838
2013,Latvia,LVA,1927.7461
2014,Latvia,LVA,1938.4757
2015,Latvia,LVA,1901.7413
2016,Latvia,LVA,1902.4856
2017,Latvia,LVA,1874.5979
2018,Latvia,LVA,1874.5979
2019,Latvia,LVA,1874.5979
2020,Latvia,LVA,1874.5979
2021,Latvia,LVA,1874.5979
2022,Latvia,LVA,1874.5979
1995,Lithuania,LTU,1729.3558
1996,Lithuania,LTU,1727.0402
1997,Lithuania,LTU,1732.694
1998,Lithuania,LTU,1779.5939
1999,Lithuania,LTU,1726.0139
2000,Lithuania,LTU,1846.2274
2001,Lithuania,LTU,1831.2194
2002,Lithuania,LTU,1802.1711
2003,Lithuania,LTU,1785.8864
2004,Lithuania,LTU,1878.5562
2005,Lithuania,LTU,1878.9719
2006,Lithuania,LTU,1874.2102
2007,Lithuania,LTU,1903.7567
2008,Lithuania,LTU,1933.5715
2009,Lithuania,LTU,1862.9437
2010,Lithuania,LTU,1884.2866
2011,Lithuania,LTU,1858.8728
2012,Lithuania,LTU,1857.2939
2013,Lithuania,LTU,1841.2473
2014,Lithuania,LTU,1833.5299
2015,Lithuania,LTU,1859.4974
2016,Lithuania,LTU,1885.0089
2017,Lithuania,LTU,1844.0171
2018,Lithuania,LTU,1844.0171
2019,Lithuania,LTU,1844.0171
2020,Lithuania,LTU,1844.0171
2021,Lithuania,LTU,1844.0171
2022,Lithuania,LTU,1844.0171
1970,Luxembourg,LUX,1845.8361
1971,Luxembourg,LUX,1842.3248
1972,Luxembourg,LUX,1821.7426
1973,Luxembourg,LUX,1792.4818
1974,Luxembourg,LUX,1768.983
1975,Luxembourg,LUX,1741.355
1976,Luxembourg,LUX,1757.8225
1977,Luxembourg,LUX,1732.7194
1978,Luxembourg,LUX,1715.1189
1979,Luxembourg,LUX,1698.5089
